//Starting in 5 seconds: subject: s005, session: 1, rep: 2
5000,46,p
5072,46,r
5998,116,p
6105,116,r
6378,105,p
6453,105,r
6639,101,p
6790,101,r
7135,53,p
7246,53,r
8254,129,p
8255,114,p
8400,114,r
8401,129,r
9070,111,p
9167,111,r
9375,97,p
9532,97,r
9650,110,p
9748,110,r
10203,108,p
10259,108,r
10702,176,p
10809,176,r
//Finished: subject: s005, session: 1, rep: 2
//Starting in 5 seconds: subject: s005, session: 1, rep: 3
15809,46,p
15872,46,r
17076,116,p
17212,116,r
17401,105,p
17480,105,r
17659,101,p
17788,101,r
18171,53,p
18275,53,r
18933,129,p
18934,114,p
19064,114,r
19065,129,r
19387,111,p
19475,111,r
19982,97,p
20160,97,r
20267,110,p
20315,110,r
21337,108,p
21400,108,r
21837,176,p
21924,176,r
//Finished: subject: s005, session: 1, rep: 3
//Starting in 5 seconds: subject: s005, session: 2, rep: 2
26924,46,p
27022,46,r
27182,116,p
27272,116,r
27438,105,p
27537,105,r
27765,101,p
27854,101,r
28400,53,p
28484,53,r
29226,129,p
29227,114,p
29358,114,r
29359,129,r
29594,111,p
29700,111,r
29792,97,p
29921,97,r
29980,110,p
30083,110,r
30273,108,p
30363,108,r
30750,176,p
30859,176,r
//Finished: subject: s005, session: 2, rep: 2
//Starting in 5 seconds: subject: s005, session: 2, rep: 3
35859,46,p
35949,46,r
36155,116,p
36279,116,r
36462,105,p
36546,105,r
36746,101,p
36848,101,r
37095,53,p
37190,53,r
37719,129,p
37720,114,p
37823,114,r
37824,129,r
38096,111,p
38195,111,r
38316,97,p
38462,97,r
38518,110,p
38625,110,r
38798,108,p
38904,108,r
39295,176,p
39400,176,r
//Finished: subject: s005, session: 2, rep: 3
//Starting in 5 seconds: subject: s005, session: 3, rep: 2
44400,46,p
44485,46,r
45054,116,p
45170,116,r
45318,105,p
45421,105,r
45603,101,p
45718,101,r
46109,53,p
46196,53,r
46626,129,p
46627,114,p
46745,114,r
46746,129,r
46951,111,p
47059,111,r
47182,97,p
47307,97,r
47386,110,p
47462,110,r
47684,108,p
47784,108,r
48044,176,p
48122,176,r
//Finished: subject: s005, session: 3, rep: 2
//Starting in 5 seconds: subject: s005, session: 3, rep: 3
53122,46,p
53188,46,r
53481,116,p
53608,116,r
53690,105,p
53793,105,r
53867,101,p
53995,101,r
54180,53,p
54300,53,r
54683,129,p
54684,114,p
54814,114,r
54815,129,r
55144,111,p
55231,111,r
55304,97,p
55458,97,r
55646,110,p
55739,110,r
55916,108,p
55999,108,r
56257,176,p
56353,176,r
//Finished: subject: s005, session: 3, rep: 3
